"num"	"bac"	"score_maths"	"score_conversions"	"score_scientifiques"	"score_expérimentales"	"score_exploitation"
1	"S"	0.923076923076923	1	1	1	1
2	"S"	0.923076923076923	0.7	0.666666666666667	0.25	1
3	"STL"	0.538461538461538	0.4	0.444444444444444	0.375	0.333333333333333
4	"STL"	0.230769230769231	0.4	1	0.375	0.5
5	"S"	0.846153846153846	0.4	0.555555555555556	0.25	0.166666666666667
6	"STAV"	0.538461538461538	0.2	0.333333333333333	0	0.5
7	"S"	0.615384615384615	0.4	0.666666666666667	0.25	0.5
8	"S"	0.384615384615385	0.2	0.666666666666667	0.25	0.333333333333333
9	"S"	0.846153846153846	0.7	0.888888888888889	0.25	0.666666666666667
10	"S"	0.846153846153846	0.5	0.555555555555556	0.25	0.666666666666667
11	"S"	0.846153846153846	0.6	1	0.53125	1
12	"S"	0.692307692307692	0.5	0.666666666666667	0.25	1
13	"S"	0.769230769230769	0.4	0.666666666666667	0.125	0.666666666666667
14	"S"	0.692307692307692	0.4	0.555555555555556	0.25	0.833333333333333
15	"S"	0.769230769230769	0.4	0.888888888888889	0.25	0.833333333333333
16	"STL"	0.384615384615385	0.4	0.444444444444444	0.125	0.333333333333333
17	"S"	0.846153846153846	0.8	1	0.375	0.5
18	"S"	0.692307692307692	0.7	0.777777777777778	0.625	0.666666666666667
19	"ST2S"	0.230769230769231	0.3	0.222222222222222	0.125	0
20	"STAV"	0.692307692307692	0.2	0.666666666666667	0.125	0.5
21	"ST2S"	0.461538461538462	0.5	0.555555555555556	0.125	0.333333333333333
22	"S"	0.615384615384615	0	0.555555555555556	0.125	0.5
23	"S"	0.692307692307692	0.5	0.888888888888889	0.375	0.666666666666667
24	"S"	0.692307692307692	0.5	0.555555555555556	0.375	0.833333333333333
25	"S"	0.846153846153846	0.4	0.888888888888889	0.625	1
26	"S"	0.692307692307692	0.7	0.888888888888889	0.75	0.5
27	"S"	0.769230769230769	0.2	0.888888888888889	0.375	0.666666666666667
28	"S"	0.769230769230769	0.7	0.666666666666667	0.25	0.333333333333333
29	"S"	0.923076923076923	0.4	0.888888888888889	0.125	0.833333333333333
30	"S"	0.615384615384615	0.6	0.888888888888889	0.375	0.833333333333333
31	"ST2S"	0.615384615384615	0.2	0.666666666666667	0.1875	0.666666666666667
32	"S"	0.769230769230769	0.5	0.555555555555556	0.25	0.666666666666667
33	"S"	0.923076923076923	0.5	0.777777777777778	0.375	1
34	"S"	0.769230769230769	0.7	0.777777777777778	0.375	0.666666666666667
35	"S"	0.846153846153846	0.6	1	0.375	0.166666666666667
36	"S"	0.923076923076923	0.7	0.555555555555556	0.625	0.166666666666667
37	"S"	0.846153846153846	0.7	0.888888888888889	0.25	0.666666666666667
38	"S"	0.923076923076923	1	0.888888888888889	0.25	0.666666666666667
39	"S"	0.692307692307692	0.2	0.777777777777778	0.25	0.666666666666667
40	"S"	0.692307692307692	0.5	0.444444444444444	0.25	0.5
41	"S"	0.846153846153846	0.4	0.555555555555556	0.375	0.5
42	"S"	0.846153846153846	0.5	0.777777777777778	0.25	0.5
43	"S"	0.846153846153846	0.5	0.888888888888889	0.25	0.666666666666667
44	"STL"	0.692307692307692	0.2	0.777777777777778	0.5	0.5
45	"STL"	0.615384615384615	0.4	0.555555555555556	0.5	0.166666666666667
46	"S"	0.692307692307692	0.2	1	0.25	0.666666666666667
47	"S"	0.846153846153846	0.7	0.888888888888889	0.375	0.833333333333333
48	"STL"	0.615384615384615	0.3	0.444444444444444	0.25	0.333333333333333
49	"ST2S"	0.769230769230769	0.2	0.777777777777778	0.25	0.166666666666667
50	"S"	0.923076923076923	0.6	0.777777777777778	0.625	0.833333333333333
51	"S"	0.923076923076923	0.7	0.666666666666667	0.125	0.666666666666667
52	"S"	0.538461538461538	0.2	0.888888888888889	0.15625	0.5
53	"S"	0.846153846153846	0.7	1	0.1875	0.666666666666667
54	"STL"	0.461538461538462	0.4	0.666666666666667	0.375	0.166666666666667
55	"S"	0.692307692307692	0.4	0.888888888888889	0	0.333333333333333
56	"S"	0.769230769230769	0.7	0.888888888888889	0.5	1
57	"S"	0.923076923076923	0.7	0.777777777777778	0.625	0.833333333333333
58	"S"	0.461538461538462	0.7	0.777777777777778	0.25	0.166666666666667
59	"S"	0.692307692307692	0	0.444444444444444	0.25	0.666666666666667
60	"STAV"	0.538461538461538	0.1	0.555555555555556	0.125	0.333333333333333
61	"S"	0.846153846153846	0.7	0.777777777777778	0.625	1
62	"S"	0.923076923076923	0.6	1	0.5	0.833333333333333
63	"S"	0.769230769230769	0.2	0.666666666666667	0.125	0.666666666666667
64	"S"	0.846153846153846	0.6	0.777777777777778	0.25	0.666666666666667
65	"STL"	0.923076923076923	0.7	0.666666666666667	0.25	0.5
66	"STL"	0.538461538461538	0.3	0.666666666666667	0.5	0.666666666666667
67	"S"	0.692307692307692	0.1	0.444444444444444	0.25	0.833333333333333
68	"S"	0.692307692307692	0.5	1	0.4375	0.333333333333333
69	"STL"	0.615384615384615	0.6	0.666666666666667	0.3125	0.666666666666667
70	"STL"	0.692307692307692	0.5	0.666666666666667	0.5	0.5
71	"ST2S"	0.384615384615385	0.2	0.888888888888889	0	0.166666666666667
72	"S"	0.769230769230769	1	1	0.5	0.5
73	"S"	0.923076923076923	0.7	0.888888888888889	0.375	1
74	"STL"	0.692307692307692	0.5	0.888888888888889	0.125	0.666666666666667
75	"S"	0.769230769230769	0.6	0.666666666666667	0.375	0.833333333333333
76	"S"	0.769230769230769	0.2	0.777777777777778	0.25	1
77	"S"	0.692307692307692	0.3	0.888888888888889	0.375	0.833333333333333
78	"S"	0.769230769230769	0.2	1	0.25	0.666666666666667
79	"S"	0.769230769230769	0.4	0.888888888888889	0.5	1
80	"S"	0.846153846153846	0.4	0.888888888888889	0.25	0.666666666666667
81	"STAV"	0.769230769230769	0	0.666666666666667	0.125	0.333333333333333
82	"S"	0.615384615384615	0.5	0.444444444444444	0.25	0.5
83	"S"	0.615384615384615	0	0.555555555555556	0.125	0.166666666666667
84	"S"	0.923076923076923	0.7	0.777777777777778	0.25	1
85	"S"	0.923076923076923	0.7	1	0.25	1
86	"ST2S"	0.384615384615385	0	1	0	0.5
87	"S"	0.692307692307692	0.3	0.888888888888889	0.03125	0.5
88	"S"	0.769230769230769	0.2	0.888888888888889	0.125	0.666666666666667
89	"S"	0.769230769230769	0.4	0.555555555555556	0.25	0.5
90	"S"	0.923076923076923	0.7	0.777777777777778	0.25	1
91	"S"	0.692307692307692	0.5	0.777777777777778	0.125	0.5
92	"S"	0.615384615384615	0.7	0.666666666666667	0.25	1
93	"S"	0.846153846153846	1	1	0.25	1
94	"STL"	0.538461538461538	0.2	0.777777777777778	0.375	0.166666666666667
95	"S"	0.769230769230769	0.6	1	0.25	0.833333333333333
96	"STL"	0.461538461538462	0.3	0.888888888888889	0.25	0.166666666666667
97	"S"	0.615384615384615	0.4	0.888888888888889	0.125	0.333333333333333
98	"STL"	0.384615384615385	0	0.555555555555556	0.125	0.333333333333333
99	"S"	0.692307692307692	0.4	1	0.25	0.333333333333333
100	"S"	0.692307692307692	0.5	0.888888888888889	0.3125	0.333333333333333
101	"S"	0.384615384615385	0	0.666666666666667	0.125	0.666666666666667
102	"S"	0.923076923076923	0.4	0.888888888888889	0.375	1
103	"S"	0.615384615384615	0.6	0.333333333333333	0	0.666666666666667
104	"ST2S"	0.384615384615385	0.3	0.444444444444444	0.25	0.166666666666667
105	"S"	0.846153846153846	0.4	0.777777777777778	0.875	0.833333333333333
106	"S"	0.846153846153846	0.5	1	0.25	1
107	"S"	0.846153846153846	0.5	0.888888888888889	0.125	0.666666666666667
108	"S"	0.461538461538462	0.6	0.888888888888889	0.25	0.5
109	"S"	0.692307692307692	0.6	0.888888888888889	0.25	0.333333333333333
110	"ST2S"	0.615384615384615	0.5	0.888888888888889	0.375	0.666666666666667
111	"S"	0.615384615384615	0.5	0.888888888888889	0.625	1
112	"S"	0.769230769230769	0.7	0.888888888888889	0.25	0.666666666666667
113	"S"	0.769230769230769	0.6	0.777777777777778	0.25	0
114	"S"	0.846153846153846	0.4	0.666666666666667	0.25	0.5
115	"S"	0.846153846153846	1	1	0.25	0.833333333333333
